agencia;conta;saldo;status
4134;0589-9;171,21;P
2842;2701-8;529,14;A
1561;6359-2;622,97;P
2172;2135-8;146,48;I
2192;8153-6;763,55;I
1900;4801-8;454,05;I
5557;0568-5;950,14;P
4099;0066-3;713,83;P
3324;4577-8;344,42;P
5787;4868-4;182,4;P
7676;3114-4;853,62;P
0617;9839-3;170,15;P
1735;7719-0;253,95;P
2589;8874-1;426,83;P
1265;3764-8;314,6;P
4628;0047-3;490,98;A
6173;5444-4;216,78;P
2923;6565-0;786,95;P
7660;7505-8;100,62;P
3962;4411-3;275,76;P
4826;0544-0;5,7;I
1576;2244-7;800,99;I
8234;7210-9;643,49;A
1678;9013-9;933,83;P
1639;9615-7;99,7;B
6447;5827-9;404,84;A
0961;7844-3;663,73;P
1135;8899-4;864,39;I
4356;3819-7;96,34;B
5771;6603-0;404,76;P
3910;6940-3;809,56;I
5200;9296-8;195,93;P
4236;0357-8;627,18;P
8771;9353-3;828,49;B
5576;9131-6;69,1;P
7377;1025-7;484,42;I
9663;1311-5;869,61;P
6067;5382-9;916,14;P
3232;9288-9;66,36;A
8992;3489-9;369,44;I
9498;0073-0;802,83;P
1358;6405-1;82,25;P
9962;8936-1;444,14;P
9822;6887-6;711,48;P
1994;3770-1;486,9;P
5373;4623-2;730,25;B
7966;4366-1;698,17;B
9620;8239-7;544,55;I
8921;7922-2;622,07;I
3519;0810-6;538,36;P
7182;1301-5;325,31;P
0909;2496-1;138,8;P
4299;8023-2;861,55;P
2236;3995-3;107,29;A
2516;8903-3;405,79;I
5432;2383-5;196,91;P
7966;5308-0;33,82;A
5969;0091-9;303,13;I
9350;5851-8;837,14;I
0959;1013-2;447,35;P
6360;4985-2;575,04;P
5996;7368-1;252,65;I
1858;4940-6;520,51;I
8415;9966-8;743,69;P
5840;5074-4;176,59;P
7665;6642-2;442,26;P
1910;1062-3;45,02;I
4143;1182-6;188,78;P
8938;6178-6;211,14;I
3945;3270-2;932,66;P
6372;5515-7;542,85;P
2423;8998-7;12,7;P
4433;9479-1;362,42;B
1499;5020-3;110,5;A
4482;8185-9;464,83;P
9674;3346-7;215,81;P
4331;7632-0;652,18;P
6810;6260-1;397,83;P
1320;6011-8;410,24;P
9564;4165-3;484,88;B
3650;8288-1;532,76;I
4144;1717-0;886,58;P
8112;4649-5;691,68;I
4276;1610-0;143,36;P
8373;0088-9;346,67;P
2522;5012-5;523,18;A
6518;5743-2;301,0;B
9058;1184-3;745,57;P
5607;0673-0;367,0;I
3195;3963-1;761,74;P
8967;5445-8;975,09;A
6333;2017-6;63,37;P
9103;4955-1;794,17;I
6141;5358-2;892,84;A
8163;9278-5;210,62;B
9695;5378-8;400,83;I
7065;1462-7;24,08;A
4731;0402-8;259,99;B
0700;9210-5;361,25;B
7556;0007-5;157,45;P
8950;8885-4;694,4;I
2756;0587-0;828,78;P
2247;7482-6;468,39;P
1911;9075-3;521,28;I
5023;1745-3;663,68;I
5239;2920-4;861,51;P
7623;3820-1;528,48;P
0881;3896-3;53,71;P
5898;8908-1;326,57;I
4051;7541-9;36,09;P
6736;1380-0;671,63;A
2916;9011-0;944,43;P
0644;4302-1;543,55;A
6093;1758-8;601,16;P
5975;5432-6;562,83;P
5915;2867-1;963,1;I
8430;9334-1;49,44;P
2264;2885-8;547,41;P
6399;5218-3;816,72;P
9884;7219-4;744,27;I
0319;4079-9;460,71;P
3312;4637-8;56,46;B
3330;2197-9;941,3;P
1479;7695-1;222,85;I
1751;3776-4;450,27;P
0160;8612-0;956,61;A
6380;8742-2;703,47;P
7963;6384-6;914,17;B
7950;5241-2;282,69;P
6455;7857-4;460,74;P
2920;0451-5;561,45;I
1991;5555-3;167,04;P
2802;5773-6;388,03;A
7970;9974-1;577,43;P
4082;8353-2;12,35;I
2838;5475-1;416,24;I
4255;3225-8;89,24;P
7345;4444-7;695,92;P
1255;8037-9;217,36;P
7274;7249-3;310,08;I
8790;5617-7;717,49;P
1018;8309-2;168,1;P
3502;0791-7;874,95;A
5619;0400-5;396,66;P
9328;1481-5;345,55;P
6147;4001-3;555,73;P
0029;4119-9;839,27;P
2162;3955-5;945,59;P
2347;7996-2;52,67;A
8050;7093-3;385,15;B
9594;5372-7;605,76;P
8234;0068-1;211,57;P
2738;7472-7;519,61;P
8599;2545-8;156,6;P
9490;9297-6;530,32;I
1989;8949-1;938,81;I
7773;3641-2;366,53;P
4541;7564-1;767,12;A
9758;5802-2;957,97;P
4170;6283-0;740,64;P
9425;2256-5;928,77;A
2837;9144-1;490,31;I
6166;4148-8;291,12;I
0320;8580-9;712,28;P
5760;9740-2;326,78;I
7661;0777-4;510,13;P
2989;5906-5;940,12;B
2505;4863-7;759,18;B
9965;7528-4;539,04;I
6941;9320-7;700,98;I
4642;9482-1;846,38;P
9018;9922-3;135,26;I
6173;6032-3;279,5;B
6777;7930-7;241,14;P
7692;0450-8;787,31;B
4899;3934-6;809,61;I
6173;7136-1;868,65;B
7484;6103-1;666,57;B
7024;7566-5;75,86;B
7643;1667-9;765,42;P
1368;3454-6;334,75;P
2821;9970-7;491,51;A
2698;1605-4;4,25;I
2335;4648-1;32,58;A
6158;7379-8;513,38;B
1303;6663-2;776,64;P
8526;4620-9;82,93;P
8115;1102-4;514,86;I
3613;7218-4;496,16;I
6591;4759-4;755,94;P
7895;0004-4;633,28;P
4835;2273-3;975,33;B
7631;1304-0;957,75;B
8420;4426-4;537,83;P
7273;2098-7;583,14;B
7957;8093-9;13,97;P
1862;8271-4;650,3;P
1677;0373-8;773,59;P
9621;1918-0;998,03;B
1104;1765-4;621,95;P
1195;4702-8;673,08;P
0396;8270-3;874,42;A
7517;0429-7;409,35;I
9350;5779-2;571,23;P
1832;8908-5;184,28;P
9050;1126-5;147,72;I
0878;4715-3;795,97;I
4781;7937-1;39,52;P
9677;2313-7;534,35;P
1318;5869-8;599,87;P
1837;7304-3;742,81;P
8703;2754-7;370,44;A
0098;4190-6;66,95;A
4438;2727-8;702,57;P
1495;6491-0;150,24;P
9915;7679-9;344,33;B
3102;8543-6;838,46;A
8683;4464-7;701,81;A
6632;1510-6;109,09;I
8395;4260-1;218,39;I
1192;7203-3;938,72;A
1683;3808-8;482,91;P
1104;3833-5;492,14;P
1153;0223-5;797,8;P
5669;5134-2;395,3;P
4324;4858-2;34,03;P
9943;8606-2;603,76;B
0704;3871-0;362,59;P
4481;9533-9;227,0;P
4449;1057-2;780,67;I
6749;5517-6;183,31;P
7824;6634-1;140,91;I
1555;6392-9;734,17;I
0344;9672-2;218,06;I
8536;9274-5;235,13;A
7116;9550-6;26,99;I
6537;0602-5;20,8;P
6638;8707-7;802,62;A
3756;2532-6;148,67;I
6720;5359-4;187,92;P
3596;3944-2;418,44;I
7529;3111-2;539,05;P
1486;0961-1;933,5;A
9583;2738-3;495,61;A
3508;6230-7;555,44;P
7821;4624-3;522,86;P
6914;7196-5;569,69;I
8136;3855-0;205,92;P
6388;3443-6;439,4;A
8323;0287-1;348,62;I
4809;5926-1;108,2;P
1465;0002-5;338,54;B
5266;4532-3;295,93;P
9069;4022-2;471,94;P
8272;3453-9;772,65;A
9813;8078-3;712,63;P
9841;9261-8;359,26;P
6963;8782-9;215,6;B
0994;3189-9;373,37;I
0188;2732-4;175,92;B
0137;8775-6;513,79;I
3633;0929-4;326,23;P
1026;8232-6;591,09;B
8609;7592-1;176,54;A
5398;7923-7;973,1;A
5364;2658-8;4,85;P
9061;3550-6;77,28;A
7758;2466-2;787,17;I
5336;5516-1;278,4;B
6492;9360-9;597,01;I
2601;6398-0;777,34;P
1797;7401-6;767,45;I
8957;3952-9;558,68;P
3505;0864-5;383,51;P
7131;1970-3;178,46;P
9841;6281-0;933,2;P
1410;6867-0;745,41;P
1367;4615-4;555,89;P
9362;8445-4;49,99;A
6564;5160-1;13,82;A
1107;1167-6;176,98;B
5303;8549-4;821,44;P
5843;7512-6;921,09;I
1943;6278-6;406,55;I
1814;8606-5;277,47;P
8138;1812-1;501,68;A
1780;8599-1;898,08;P
5300;5225-7;814,05;P
0212;4481-6;781,22;P
1256;3750-8;920,21;P
7260;9436-1;166,71;I
8351;2552-6;257,33;A
8034;9973-7;633,49;P
3554;1477-5;682,45;B
8138;2462-8;111,6;A
4663;5907-3;913,11;B
6900;6321-7;732,84;P
4385;5205-1;301,39;I
8842;8303-2;982,83;P
1687;7716-0;584,11;P
4767;0557-9;852,79;B
4816;9741-4;343,51;A
9355;8690-9;158,78;P
5567;8126-2;670,06;P
5301;6256-4;516,77;P
4809;6333-6;708,69;P
0571;2063-9;989,42;B
8071;1011-1;219,41;A
4821;2770-3;30,71;P
5459;4830-3;369,21;P
7348;6904-5;984,21;B
5333;2759-0;666,88;P
4108;9299-6;862,07;B
0943;7294-7;135,49;P
9067;8189-9;293,43;P
8267;5201-6;416,52;I
2819;3846-1;751,13;B
4291;8719-6;147,52;P
1575;0752-4;366,57;A
0512;4802-3;688,15;A
4732;2693-6;769,38;P
4416;5359-1;810,41;I
1853;4408-9;176,14;P
4884;2615-2;658,42;P
7453;8633-7;632,28;P
0103;8125-7;775,84;B
4382;1534-2;602,32;A
5984;9799-0;936,19;I
8134;9310-3;250,26;P
9186;8150-2;82,36;P
2035;9603-6;187,38;P
3463;7034-3;277,39;P
3836;7436-4;693,21;P
2103;1911-9;88,75;B
9355;8255-3;833,81;A
6280;3588-5;871,84;P
2845;5100-9;726,0;I
1336;5660-2;256,85;B
2202;6723-0;904,25;I
3762;8123-2;205,75;P
1107;6602-0;317,12;A
2459;3954-8;63,82;B
7030;1417-5;907,44;P
2789;0103-7;221,12;I
1636;9966-5;531,94;P
8649;9201-4;110,28;P
4112;5062-7;333,07;P
2724;3326-3;695,88;I
7355;7704-5;224,06;I
8914;5056-5;862,37;I
5997;6611-9;462,71;P
6046;6272-7;569,32;P
1933;3188-1;566,15;P
8354;3409-0;437,39;I
9886;0975-7;870,55;I
5446;3629-4;285,11;I
5182;8124-4;110,84;B
8017;9141-5;865,03;A
1010;4005-5;351,4;P
6683;2028-8;136,61;P
9874;2554-5;705,82;I
8643;8745-5;272,65;P
3091;1316-1;862,98;A
2815;0669-7;492,86;A
8161;4910-4;214,37;I
1397;4972-8;433,35;P
9791;3648-8;877,49;A
2377;3889-9;826,79;B
8918;5383-6;500,62;I
2680;7947-8;819,89;P
1374;3916-6;62,49;P
9114;0892-4;96,44;P
0986;2849-2;770,42;P
5093;1435-6;690,62;I
6403;9181-7;436,82;I
3088;6034-0;391,64;B
0507;7595-3;287,23;P
9585;2142-7;167,68;P
4491;0966-0;450,99;B
6206;8889-6;798,53;P
4643;2003-7;705,24;I
8555;6175-2;60,56;P
5737;5836-6;775,8;P
8154;5305-3;158,78;P
1877;3588-4;421,88;I
9792;0491-8;512,31;P
3994;7203-1;467,46;P
1968;2111-4;479,23;I
9486;8514-1;932,48;I
4068;5567-6;162,58;P
4117;3533-4;228,02;P
8048;3576-7;499,21;P
1472;6513-8;180,66;P
4121;6512-8;443,41;I
5759;6538-0;111,25;A
7111;1992-0;349,92;P
3176;3404-3;830,36;P
8698;2682-1;311,58;P
7420;4097-8;751,26;A
6973;5052-4;49,39;B
2861;2149-8;88,5;P
4101;1071-7;559,65;P
9009;4780-5;901,03;B
1292;9791-1;107,73;I
3399;7901-0;994,73;I
7362;6953-7;445,22;P
9734;3490-6;495,82;P
6666;2604-8;546,71;P
5823;2685-0;743,38;B
7136;8791-5;997,7;P
6984;4181-0;983,46;P
4181;3569-1;18,77;P
3984;7845-5;703,29;B
1151;6179-2;102,5;P
9346;0460-1;593,54;I
1786;8785-9;687,53;P
0013;3938-3;229,48;P
1354;8022-0;709,23;I
1681;5070-0;220,34;P
8200;0593-6;586,35;A
3643;2356-1;770,14;A
6047;8502-1;333,96;I
8920;3511-2;789,86;P
6934;6183-9;979,51;P
5717;8038-2;84,19;I
8953;0900-6;624,19;I
6806;5199-6;5,7;P
7724;0542-1;253,15;A
4548;2816-7;255,34;I
6424;7629-3;773,12;I
5822;2201-8;165,36;I
2273;7302-5;576,79;B
9894;0703-0;41,72;P
1398;5099-1;29,12;I
4357;8923-1;444,62;P
1062;0434-5;666,33;P
6884;7107-6;201,79;P
8778;0366-3;550,72;P
1243;3220-3;49,15;P
0149;5051-2;890,71;A
6925;1455-7;435,6;B
4730;3913-3;699,73;I
7164;2482-0;151,54;A
2344;7181-0;332,72;P
9590;7612-7;34,05;P
4079;3826-4;730,56;B
2729;6887-1;531,93;P
6538;4561-0;387,11;I
5044;3485-6;10,18;P
9619;3969-9;404,81;A
2493;8595-2;688,86;P
9416;7412-8;39,34;A
1009;0178-8;899,09;P
7188;5582-2;14,16;P
9717;9560-0;852,54;B
6176;5609-3;593,14;P
6701;0666-2;546,81;P
9742;5483-1;694,37;I
1865;2581-1;672,03;P
4342;5923-4;598,68;P
9162;6548-8;416,01;P
7903;9973-8;450,4;P
2406;9576-3;753,5;A
1661;2496-5;66,68;I
7407;5445-7;947,36;P
4368;1488-1;913,24;I
7919;1544-4;524,32;P
3410;7953-3;195,59;I
5736;4571-3;15,81;B
8416;5983-7;938,38;P
2520;9103-8;99,55;P
3674;8759-6;263,73;P
1349;8871-4;715,89;P
7985;6326-8;826,0;P
7308;8570-8;626,76;P
5053;9270-3;711,63;P
0629;4695-4;486,07;P
6688;2433-4;959,31;I
8910;6249-4;326,86;I
6817;0687-7;683,94;B
0249;9024-7;421,86;A
2889;7378-8;777,91;I
8398;2403-8;306,96;P
5678;5337-2;701,24;B
9337;6704-2;421,88;P
9786;4953-8;970,9;A
3857;7370-7;622,29;I
9575;0794-3;962,73;A
9189;8297-9;427,3;P
4722;2601-3;921,93;P
9302;8888-7;995,69;I
2780;5483-4;891,52;P
3999;1483-8;118,66;P
4947;2707-5;59,16;A
8943;5309-2;740,67;I
5927;0556-4;538,98;I
6362;0323-8;814,28;B
5072;9398-8;818,14;P
0322;0846-1;716,87;P
0678;6391-7;310,12;I
2141;3025-8;873,1;B
9861;8070-4;869,11;P
3922;8373-8;996,08;P
8929;0800-6;813,12;A
4624;5583-2;988,44;P
3685;2315-7;358,12;P
8985;1710-5;486,32;P
6348;0199-6;285,13;A
2571;9050-3;388,04;P
2550;1758-9;472,26;B
3034;9547-2;225,48;P
0461;7791-6;902,1;A
8884;2127-1;238,44;P
2507;1251-5;414,35;P
0094;7117-8;594,81;P
4039;4825-8;300,9;I
8059;3932-4;633,83;A
2472;1374-3;889,92;I
0636;6980-8;913,82;A
6612;5209-0;614,9;I
5620;3812-4;437,11;P
4973;6169-7;101,19;P
9239;8174-0;586,65;I
2340;8430-7;578,1;A
0953;0546-9;195,4;P
5484;3242-2;942,46;P
7119;3845-1;950,17;P
6635;4791-1;212,9;A
0840;2349-4;458,04;B
5995;1764-9;90,75;P
4636;7395-0;231,3;B
0154;7275-8;105,24;P
7454;1342-8;483,72;P
0031;7439-4;248,02;I
9448;6349-3;703,33;P
4650;8785-7;257,63;B
3926;2912-9;527,93;I
5851;4120-7;328,6;P
1893;2789-6;824,84;A
9890;8334-5;350,49;I
5703;5527-1;892,5;I
2144;9507-2;127,36;P
1459;6454-3;465,7;P
4068;3873-2;668,28;P
6590;0252-5;252,87;I
5200;4592-3;488,3;I
7553;2124-5;610,49;P
1089;7108-0;745,47;P
3283;7697-5;335,72;I
0396;2020-2;603,65;P
5763;3908-6;889,6;P
7540;3034-9;680,93;I
5321;8370-0;587,48;A
8810;3026-4;465,33;B
5711;0774-7;178,86;B
5783;6818-1;144,05;P
7730;8165-9;423,37;P
4816;4622-6;61,03;I
6686;0587-6;341,11;B
9960;3624-1;599,68;P
7402;3661-6;102,6;A
3316;4248-1;494,33;P
3273;7863-7;288,69;B
8738;9508-2;435,95;P
3562;1736-0;437,87;P
9832;8296-0;996,16;B
7724;2735-7;374,45;P
8375;4960-0;597,24;P
0412;8657-6;959,7;I
9427;6336-8;7,95;B
4439;5495-1;209,17;P
1177;1921-6;123,17;P
5695;4912-0;212,81;I
2736;3100-2;502,25;B
5729;6225-1;917,27;A
6826;1872-2;171,09;P
0119;1486-7;425,42;P
5646;6589-5;830,46;I
2540;1947-4;574,78;A
9528;5760-8;32,76;B
4900;5301-1;361,53;A
3617;0227-2;488,22;P
1819;5560-6;191,24;P
4797;8661-5;511,52;P
4999;0188-5;146,59;P
2925;4469-6;398,49;P
3114;4197-2;324,8;P
9855;2439-9;303,18;A
7490;3396-6;846,24;P
9684;0318-1;120,34;P
1470;8289-8;955,05;P
9086;8568-5;305,25;P
7051;0749-2;306,17;P
2318;0668-8;568,37;P
6852;2733-9;121,74;P
7411;8162-9;848,85;B
5165;1061-9;784,77;A
3898;1995-7;772,36;P
0299;5162-3;565,87;A
9128;4421-8;609,33;I
6769;6828-8;672,44;I
8467;3412-0;383,22;I
2589;1690-1;864,21;B
1694;6957-9;106,22;B
0213;0551-3;202,76;B
8045;1722-0;133,32;I
2747;7118-4;299,69;A
3944;7634-2;383,78;P
5647;9014-5;381,37;P
1317;4365-0;525,47;P
6284;2959-6;554,57;B
7743;7132-6;92,83;B
3727;5222-0;601,46;P
8425;9194-9;47,52;I
0580;3840-7;349,39;I
6887;5295-2;944,73;P
8244;1369-6;149,76;A
6547;5796-1;512,73;I
9262;1005-1;447,73;P
5438;2898-8;469,81;B
5870;2330-8;501,84;P
1289;1866-1;440,42;P
5186;8454-4;169,78;P
0827;5860-1;899,35;P
4332;2690-4;432,98;A
1248;7511-1;127,6;P
4206;5136-6;620,14;I
2191;1422-7;179,44;I
8431;9939-2;147,86;P
7699;0992-9;285,44;P
1222;8604-6;203,89;P
3194;5702-7;210,52;P
0800;1408-3;46,66;P
4257;0699-7;97,83;P
6616;8130-1;819,33;I
0688;5139-8;537,4;B
6894;1477-9;773,72;P
1507;1073-5;375,71;P
4843;9271-2;105,8;P
5814;7396-5;23,55;I
7310;4413-4;29,3;P
1804;3548-7;996,85;B
8867;9923-8;17,13;I
2878;9381-9;125,93;P
7800;6021-3;812,86;P
3527;9498-6;849,62;I
6934;6024-5;112,98;B
5410;7282-6;856,63;P
3179;7418-4;513,25;P
2058;5320-3;469,88;P
0849;8958-9;884,77;I
9182;9807-1;49,59;P
2954;0127-0;331,59;P
3544;5172-8;193,12;I
9121;5274-4;836,1;P
7974;7881-8;208,3;A
7981;2575-0;675,65;P
2375;1325-2;286,87;A
7074;9338-8;975,14;P
5010;6328-4;158,72;A
7581;9289-5;479,0;P
9304;4105-6;966,43;I
6970;4640-6;499,64;P
8298;2483-2;537,03;B
6144;5566-1;344,13;I
3346;4832-7;606,22;P
4554;8558-8;536,78;I
3048;8038-8;376,82;I
0112;2108-6;330,18;P
8113;7049-7;582,51;B
5811;4390-9;837,51;P
0315;7657-6;217,6;P
9151;0363-3;100,41;B
8843;0117-2;94,38;I
5747;5924-0;6,34;I
0724;5620-8;313,8;P
7773;9428-1;625,61;A
0804;4468-7;558,38;I
0706;1954-0;635,33;I
1748;9201-0;147,96;P
2711;7680-9;446,25;P
1015;5358-8;92,75;A
9017;2735-8;981,2;A
9390;3821-1;242,95;P
0201;7134-1;547,23;P
1147;1787-0;413,49;A
6164;1740-2;379,18;P
1554;0716-0;129,41;P
8068;4404-6;583,56;A
1967;8674-2;718,32;P
7004;7421-6;967,89;P
8976;5379-7;477,26;P
1461;5602-8;485,25;B
0579;4913-3;895,61;I
9015;8808-0;230,59;I
9835;1731-6;610,51;P
2048;0837-8;484,57;I
1717;5566-1;114,06;A
7622;9323-5;21,48;P
8443;2667-5;267,91;A
1242;2426-6;163,44;P
4212;9106-8;526,85;P
5254;0091-0;399,48;P
8242;1511-1;115,4;P
0729;3798-4;49,35;A
4380;2614-8;736,29;I
4112;2377-9;759,98;A
3925;5340-8;6,22;P
9007;1345-9;486,98;A
2789;1350-8;682,12;A
2444;0543-2;655,91;A
6554;5655-0;196,15;A
7849;4867-1;383,33;I
8332;2437-7;132,88;P
7068;3636-8;932,43;P
4626;6005-3;976,02;I
5941;3130-1;922,34;I
6709;3565-4;495,75;P
0907;7898-3;221,86;P
3021;5488-5;998,3;P
8916;0939-8;586,64;P
7070;4398-1;324,63;P
6504;7556-5;231,38;P
8680;8069-7;95,51;P
6163;8844-7;133,37;I
9896;2789-3;543,84;B
0280;1427-6;491,08;P
5482;3723-9;84,91;P
2503;1234-4;993,63;P
5235;6971-2;898,26;P
7902;1122-6;902,16;I
3605;5785-4;771,38;B
6834;5533-6;979,99;P
5794;2545-6;283,87;P
7509;5986-8;291,06;P
9389;3115-3;160,5;P
4130;2194-7;84,77;P
7590;2084-0;605,1;B
4791;2191-1;597,14;I
5086;6533-2;176,4;P
4941;6070-3;12,57;I
2708;0745-5;196,41;I
8302;9411-9;755,36;P
4853;1491-2;621,23;A
1084;5077-3;170,21;P
5266;1647-8;824,18;P
5364;9096-8;351,75;B
3315;1751-5;580,42;P
1700;5747-6;293,11;P
6087;8642-0;558,46;P
8444;8445-2;872,89;P
9376;9866-9;920,94;A
7827;0958-1;385,52;P
0123;1760-8;774,12;A
4503;3681-6;505,59;A
3655;4642-0;822,69;P
8122;4711-8;354,96;I
9421;1463-3;109,63;P
3617;3640-7;703,84;P
7844;7117-4;415,44;P
1283;1835-5;635,55;I
0467;8785-3;792,25;A
8272;5760-6;694,23;P
3313;3291-4;216,79;P
5882;1411-3;692,19;I
2827;6567-3;590,6;I
8226;8444-3;310,33;P
2237;6320-2;976,09;P
4185;1154-5;247,56;P
7464;8852-1;47,44;P
2173;9354-1;161,64;B
2716;8286-8;722,37;B
6042;9355-3;357,64;A
5699;6339-9;658,12;I
9792;9820-8;597,06;P
8961;4121-8;78,01;P
4152;0959-0;136,11;P
3612;3295-2;814,64;P
9419;2201-6;348,23;I
1089;1137-8;106,29;P
7496;6781-5;222,38;I
4699;4355-0;819,77;I
9853;4133-3;637,13;I
2348;5476-6;410,05;P
7062;8654-2;809,71;I
7084;0709-7;542,91;P
7550;1374-2;996,98;P
6407;4327-2;202,48;P
2250;7604-8;140,37;P
0560;6213-2;139,26;P
3600;5850-3;724,25;B
8171;0675-4;488,21;I
2334;3101-6;459,8;P
2400;0428-5;564,98;B
0059;6239-5;998,95;P
4141;2458-2;902,04;I
9400;0200-9;7,46;I
0159;1904-8;576,07;A
8862;2268-4;453,13;P
3109;6214-7;857,66;P
8461;3519-6;928,22;P
4508;2752-7;934,49;P
0198;1599-3;857,59;P
6808;0500-7;960,25;A
8856;5815-5;992,65;P
5940;7905-2;13,71;P
0008;4008-5;42,9;P
5740;9272-5;282,12;B
6022;4256-6;624,25;P
9987;8741-4;391,64;A
9778;1118-6;541,93;P
1812;6877-3;420,95;A
7539;6980-9;352,03;I
9918;8236-2;513,42;P
7328;2922-2;507,28;B
5778;9319-0;588,83;P
2852;9202-8;975,91;B
6234;7176-5;945,36;I
3606;1814-3;433,04;I
0629;7542-3;880,79;A
2790;1174-8;600,65;P
7452;4076-7;850,86;P
0771;0849-1;493,22;P
1100;9703-8;2,22;P
9214;6797-2;480,41;A
8291;1208-0;299,76;B
9884;1849-2;210,79;A
4271;2921-9;182,85;P
2510;1395-9;634,37;I
5716;4860-5;906,9;P
6063;5933-5;587,32;P
2544;9922-4;504,09;P
9299;2761-6;977,28;P
0092;4733-2;533,0;I
0225;4502-2;936,84;B
0972;5228-1;404,89;P
4936;8594-8;646,29;P
4317;5034-0;997,46;P
3875;2577-0;511,42;A
8589;4184-8;579,68;P
8762;6811-5;768,06;P
1593;0588-7;278,88;P
9899;7075-7;448,56;B
5799;3136-5;422,68;A
8801;9647-3;269,11;P
3587;3765-5;291,32;B
1521;2242-1;727,74;P
5624;7264-0;529,27;P
8186;1679-1;349,3;A
7553;3662-9;115,15;I
6333;9889-0;119,48;B
5588;5114-3;230,78;I
3147;3026-9;547,12;P
9391;7152-7;663,16;I
9197;6413-0;125,12;B
2922;9942-4;651,68;P
0197;3994-1;246,47;P
7478;3164-3;242,79;A
3539;3642-9;95,93;P
1850;6006-8;586,79;B
1860;6581-6;25,99;P
6739;2133-7;422,93;P
4844;5039-9;826,96;I
0181;8883-6;395,5;I
5134;8169-7;327,54;I
7782;8593-2;279,59;P
7915;6210-6;245,93;I
5084;0294-5;748,23;A
1460;8418-4;567,85;P
6759;9604-5;447,87;P
0459;8760-4;24,98;B
7180;8010-8;127,35;P
6532;0219-9;734,2;P
2822;7413-8;279,76;B
9847;3266-5;85,72;B
0694;1042-3;907,97;P
3439;7338-1;978,96;P
0591;6157-9;674,57;P
5785;5199-1;870,02;I
4530;2840-0;41,32;A
8461;3580-1;609,55;I
2725;2545-1;10,75;I
2290;0874-5;85,94;P
3866;3631-4;662,21;P
9401;1564-0;61,4;A
7688;0540-4;87,32;I
7219;5363-4;499,86;A
6110;6039-5;526,58;P
5554;4418-8;864,09;I
5726;9750-4;103,28;P
6778;2658-4;547,02;I
7129;3264-8;321,15;P
4765;5867-5;791,84;I
7458;1441-5;260,53;B
5552;6290-3;503,96;I
0881;5708-7;106,44;I
6930;8036-6;189,84;A
5994;0430-5;62,98;P
5619;0838-1;842,42;P
5507;0899-8;776,38;P
6047;5718-4;928,5;A
6276;9396-2;58,95;B
5245;7889-4;490,94;P
9746;7701-6;658,55;B
7992;0036-9;273,92;I
3880;1578-7;708,69;I
0957;5979-0;629,19;B
4627;0328-7;558,04;P
8039;6226-7;831,62;P
3453;7847-2;300,67;I
0940;1168-5;498,76;I
